"phi","dens","study","distribution"
0.367367367367367,3.38153152311848e-70,"study_0","Beta"
0.368368368368368,1.44162115060834e-70,"study_0","Beta"
0.369369369369369,6.13448379218434e-71,"study_0","Beta"
0.37037037037037,2.60550979520947e-71,"study_0","Beta"
0.371371371371371,1.10457147999097e-71,"study_0","Beta"
0.372372372372372,4.67390598881227e-72,"study_0","Beta"
0.373373373373373,1.97401177378516e-72,"study_0","Beta"
0.374374374374374,8.32150146437274e-73,"study_0","Beta"
0.375375375375375,3.50134086759332e-73,"study_0","Beta"
0.376376376376376,1.47043683495419e-73,"study_0","Beta"
0.377377377377377,6.16362427702887e-74,"study_0","Beta"
0.378378378378378,2.578708484104e-74,"study_0","Beta"
0.379379379379379,1.07682006244837e-74,"study_0","Beta"
0.38038038038038,4.48804597727335e-75,"study_0","Beta"
0.381381381381381,1.86699511715685e-75,"study_0","Beta"
0.382382382382382,7.75174061947622e-76,"study_0","Beta"
0.383383383383383,3.21235749961478e-76,"study_0","Beta"
0.384384384384384,1.32866503446826e-76,"study_0","Beta"
0.385385385385385,5.48494815540205e-77,"study_0","Beta"
0.386386386386386,2.25992125982522e-77,"study_0","Beta"
0.387387387387387,9.29343372282189e-78,"study_0","Beta"
0.388388388388388,3.81434141101531e-78,"study_0","Beta"
0.389389389389389,1.56250603273029e-78,"study_0","Beta"
0.39039039039039,6.38823573151514e-79,"study_0","Beta"
0.391391391391391,2.60672697855938e-79,"study_0","Beta"
0.392392392392392,1.06160710623612e-79,"study_0","Beta"
0.393393393393393,4.31503181831781e-80,"study_0","Beta"
0.394394394394394,1.75046868072071e-80,"study_0","Beta"
0.395395395395395,7.08717356544301e-81,"study_0","Beta"
0.396396396396396,2.86377163137476e-81,"study_0","Beta"
0.397397397397397,1.15491089340911e-81,"study_0","Beta"
0.398398398398398,4.64837898157171e-82,"study_0","Beta"
0.399399399399399,1.8672208733466e-82,"study_0","Beta"
0.4004004004004,7.48564303654045e-83,"study_0","Beta"
0.401401401401401,2.99502127709295e-83,"study_0","Beta"
0.402402402402402,1.1959312024806e-83,"study_0","Beta"
0.403403403403403,4.76591243349471e-84,"study_0","Beta"
0.404404404404404,1.89547285833413e-84,"study_0","Beta"
0.405405405405405,7.52348029366699e-85,"study_0","Beta"
0.406406406406406,2.98021606117094e-85,"study_0","Beta"
0.407407407407407,1.17815513818636e-85,"study_0","Beta"
0.408408408408408,4.64815909971772e-86,"study_0","Beta"
0.409409409409409,1.83012708517162e-86,"study_0","Beta"
0.41041041041041,7.19119793663326e-87,"study_0","Beta"
0.411411411411411,2.8199338525636e-87,"study_0","Beta"
0.412412412412412,1.10355051901294e-87,"study_0","Beta"
0.413413413413413,4.30981924237071e-88,"study_0","Beta"
0.414414414414414,1.67972169543563e-88,"study_0","Beta"
