"P0","MSYR","ROI","P1993","alpha","alpha_status","method"
14507.6,0.0204113,0.0201417,7736.87,0.5,"fixed","MCMC"
15489.8,0.017071,0.0166095,7881.85,0.5,"fixed","MCMC"
14041.3,0.0224401,0.0204622,8700.33,0.5,"fixed","MCMC"
13251.8,0.0260433,0.025036,8020.44,0.5,"fixed","MCMC"
14642.9,0.0198425,0.0199403,7391.38,0.5,"fixed","MCMC"
15562.2,0.0169822,0.0160239,8426.99,0.5,"fixed","MCMC"
13776.5,0.0236608,0.0203502,9159.48,0.5,"fixed","MCMC"
15221.5,0.0179636,0.0172977,8103.19,0.5,"fixed","MCMC"
15924,0.0159903,0.0149415,8580.61,0.5,"fixed","MCMC"
13971.4,0.0226645,0.021627,8190.15,0.5,"fixed","MCMC"
13531.4,0.024743,0.022037,8808.78,0.5,"fixed","MCMC"
13974.2,0.0227831,0.0199461,9065.18,0.5,"fixed","MCMC"
12246,0.0319492,0.0253565,9156.12,0.5,"fixed","MCMC"
14445.7,0.0208423,0.0188569,8856.29,0.5,"fixed","MCMC"
13669.3,0.0239165,0.0243932,7247.36,0.5,"fixed","MCMC"
